"","childid","s2_id","w8cf8p_80","w2sch0","nsch","scorevar","score","wave","calYear","acaYear","w1c","w2","w3","w1"
"1924",10008080,2302,919.935861999999,46.502141,20,"x6mscalk5",71.5668,"6",30,24,1,919.935861999999,46.502141,919.935861999999
"1925",10008106,1521,949.729327,53.744947,15,"x6mscalk5",86.1044,"6",30,24,1,949.729327,53.744947,949.729327
"1926",10008151,1521,949.729327,53.744947,15,"x6mscalk5",100.2933,"6",30,24,1,949.729327,53.744947,949.729327
"1927",10008167,1512,371.754894,75.291633,15,"x6mscalk5",105.9676,"6",30,24,1,371.754894,75.291633,371.754894
"1928",10008177,1555,988.882712,49.461368,18,"x6mscalk5",66.5845,"6",30,24,1,988.882712,49.461368,988.882712
"1929",10008179,1746,597.701709,92.9635709999999,17,"x6mscalk5",123.6648,"6",30,24,1,597.701709,92.9635709999999,597.701709
"1930",10008248,1521,453.715868,53.744947,15,"x6mscalk5",74.6544,"6",30,24,1,453.715868,53.744947,453.715868
"1931",10008377,1017,1628.525775,36.765227,17,"x6mscalk5",124.2283,"6",30,24,1,1628.525775,36.765227,1628.525775
"1932",10008402,1247,1907.245444,30.36913,18,"x6mscalk5",114.9008,"6",30,24,1,1907.245444,30.36913,1907.245444
"1933",10008424,1937,1034.521748,68.608006,16,"x6mscalk5",97.0702,"6",30,24,1,1034.521748,68.608006,1034.521748
"1934",10008427,1756,1197.579747,71.831099,15,"x6mscalk5",104.1598,"6",30,24,1,1197.579747,71.831099,1197.579747
"1935",10008568,1906,1119.928145,181.283467,18,"x6mscalk5",98.1494,"6",30,24,1,1119.928145,181.283467,1119.928145
"1936",10008571,1746,319.526993,92.9635709999999,17,"x6mscalk5",106.6212,"6",30,24,1,319.526993,92.9635709999999,319.526993
"1937",10008578,2327,789.418885999999,63.196283,16,"x6mscalk5",117.854,"6",30,24,1,789.418885999999,63.196283,789.418885999999
"1938",10008624,1746,251.806095,92.9635709999999,17,"x6mscalk5",111.4006,"6",30,24,1,251.806095,92.9635709999999,251.806095
"1939",10008690,1066,1208.710774,59.788467,18,"x6mscalk5",82.7943,"6",30,24,1,1208.710774,59.788467,1208.710774
"1940",10008716,1512,1175.37128,75.291633,15,"x6mscalk5",69.9956,"6",30,24,1,1175.37128,75.291633,1175.37128
"1941",10008780,1088,738.908654,37.162299,15,"x6mscalk5",129.3179,"6",30,24,1,738.908654,37.162299,738.908654
"1942",10008807,1512,638.087076,75.291633,15,"x6mscalk5",91.5357,"6",30,24,1,638.087076,75.291633,638.087076
"1943",10008817,1906,1497.850853,181.283467,18,"x6mscalk5",70.4285,"6",30,24,1,1497.850853,181.283467,1497.850853
"1944",10008831,1937,1009.816429,68.608006,16,"x6mscalk5",106.4832,"6",30,24,1,1009.816429,68.608006,1009.816429
"1945",10008898,1302,268.032242,37.544854,20,"x6mscalk5",118.4166,"6",30,24,1,268.032242,37.544854,268.032242
"1946",10008947,1017,647.549815,36.765227,17,"x6mscalk5",95.6441,"6",30,24,1,647.549815,36.765227,647.549815
"1947",10009033,1521,812.656501999999,53.744947,15,"x6mscalk5",103.4649,"6",30,24,1,812.656501999999,53.744947,812.656501999999
"1948",10009098,1247,2556.162043,30.36913,18,"x6mscalk5",101.2995,"6",30,24,1,2556.162043,30.36913,2556.162043
"1949",10009102,2006,2927.965841,32.830566,18,"x6mscalk5",119.2028,"6",30,24,1,2927.965841,32.830566,2927.965841
"1950",10009116,2326,1335.077217,52.083427,15,"x6mscalk5",67.7433,"6",30,24,1,1335.077217,52.083427,1335.077217
"1951",10009223,1555,1973.722948,49.461368,18,"x6mscalk5",81.6357,"6",30,24,1,1973.722948,49.461368,1973.722948
"1952",10009328,1746,295.225564,92.9635709999999,17,"x6mscalk5",112.9268,"6",30,24,1,295.225564,92.9635709999999,295.225564
"1953",10009343,1843,274.746296,12.784643,16,"x6mscalk5",77.536,"6",30,24,1,274.746296,12.784643,274.746296
"1954",10009435,1017,4990.364472,36.765227,17,"x6mscalk5",84.784,"6",30,24,1,4990.364472,36.765227,4990.364472
"1955",10009505,1033,6932.739124,40.136887,15,"x6mscalk5",111.586,"6",30,24,1,6932.739124,40.136887,6932.739124
"1956",10009555,1746,258.655817,92.9635709999999,17,"x6mscalk5",104.8465,"6",30,24,1,258.655817,92.9635709999999,258.655817
"1957",10009606,1218,1369.402147,24.807104,17,"x6mscalk5",109.5063,"6",30,24,1,1369.402147,24.807104,1369.402147
"1958",10009702,1555,950.790254,49.461368,18,"x6mscalk5",46.1767,"6",30,24,1,950.790254,49.461368,950.790254
"1959",10009727,1937,1967.628122,68.608006,16,"x6mscalk5",111.0093,"6",30,24,1,1967.628122,68.608006,1967.628122
"1960",10009771,1377,3040.065793,181.283467,17,"x6mscalk5",117.4134,"6",30,24,1,3040.065793,181.283467,3040.065793
"1961",10009802,1033,2358.818343,40.136887,15,"x6mscalk5",108.9358,"6",30,24,1,2358.818343,40.136887,2358.818343
"1962",10009808,1512,300.219742,75.291633,15,"x6mscalk5",96.384,"6",30,24,1,300.219742,75.291633,300.219742
"1963",10009842,1377,2951.428967,181.283467,17,"x6mscalk5",75.4707,"6",30,24,1,2951.428967,181.283467,2951.428967
"1964",10009870,2327,859.792919,63.196283,16,"x6mscalk5",112.782,"6",30,24,1,859.792919,63.196283,859.792919
"1965",10009911,1906,3069.675007,181.283467,18,"x6mscalk5",47.0118,"6",30,24,1,3069.675007,181.283467,3069.675007
"1966",10009952,2327,494.730099,63.196283,16,"x6mscalk5",122.9677,"6",30,24,1,494.730099,63.196283,494.730099
"1967",10009953,1302,483.470514,37.544854,20,"x6mscalk5",122.7397,"6",30,24,1,483.470514,37.544854,483.470514
"1968",10009977,1521,669.395006,53.744947,15,"x6mscalk5",92.3761,"6",30,24,1,669.395006,53.744947,669.395006
"1969",10009998,1017,4030.09069,36.765227,17,"x6mscalk5",77.9062,"6",30,24,1,4030.09069,36.765227,4030.09069
"1970",10010045,1302,874.032009999999,37.544854,20,"x6mscalk5",109.0491,"6",30,24,1,874.032009999999,37.544854,874.032009999999
"1971",10010094,1218,2158.081823,24.807104,17,"x6mscalk5",102.3433,"6",30,24,1,2158.081823,24.807104,2158.081823
"1972",10010145,2302,1022.471111,46.502141,20,"x6mscalk5",30.9663,"6",30,24,1,1022.471111,46.502141,1022.471111
"1973",10010149,1521,812.656501999999,53.744947,15,"x6mscalk5",86.965,"6",30,24,1,812.656501999999,53.744947,812.656501999999
"1974",10010315,1377,1854.752723,181.283467,17,"x6mscalk5",106.3817,"6",30,24,1,1854.752723,181.283467,1854.752723
"1975",10010385,1377,3654.683577,181.283467,17,"x6mscalk5",77.4692,"6",30,24,1,3654.683577,181.283467,3654.683577
"1976",10010462,1033,2358.818343,40.136887,15,"x6mscalk5",86.7736999999999,"6",30,24,1,2358.818343,40.136887,2358.818343
"1977",10010482,1555,1766.176115,49.461368,18,"x6mscalk5",76.0257,"6",30,24,1,1766.176115,49.461368,1766.176115
"1978",10010626,2006,2631.13208,32.830566,18,"x6mscalk5",76.2617,"6",30,24,1,2631.13208,32.830566,2631.13208
"1979",10010644,2302,1967.146931,46.502141,20,"x6mscalk5",78.7415,"6",30,24,1,1967.146931,46.502141,1967.146931
"1980",10010654,1746,269.018603,92.9635709999999,17,"x6mscalk5",100.8409,"6",30,24,1,269.018603,92.9635709999999,269.018603
"1981",10010850,1088,1878.459338,37.162299,15,"x6mscalk5",99.8394,"6",30,24,1,1878.459338,37.162299,1878.459338
"1982",10010915,1756,1031.174606,71.831099,15,"x6mscalk5",72.3793,"6",30,24,1,1031.174606,71.831099,1031.174606
"1983",10010939,1066,1517.774836,59.788467,18,"x6mscalk5",84.2322,"6",30,24,1,1517.774836,59.788467,1517.774836
"1984",10010967,1937,918.381227,68.608006,16,"x6mscalk5",107.1324,"6",30,24,1,918.381227,68.608006,918.381227
"1985",10010982,1066,1495.011311,59.788467,18,"x6mscalk5",85.5748,"6",30,24,1,1495.011311,59.788467,1495.011311
"1986",10011202,1756,1847.634589,71.831099,15,"x6mscalk5",97.6495999999999,"6",30,24,1,1847.634589,71.831099,1847.634589
"1987",10011249,1302,342.053525,37.544854,20,"x6mscalk5",121.0171,"6",30,24,1,342.053525,37.544854,342.053525
"1988",10011287,1906,2290.396138,181.283467,18,"x6mscalk5",69.6848,"6",30,24,1,2290.396138,181.283467,2290.396138
"1989",10011322,1033,1178.163155,40.136887,15,"x6mscalk5",113.4974,"6",30,24,1,1178.163155,40.136887,1178.163155
"1990",10011381,1906,3654.683577,181.283467,18,"x6mscalk5",100.5853,"6",30,24,1,3654.683577,181.283467,3654.683577
"1991",10011431,1746,454.978723,92.9635709999999,17,"x6mscalk5",102.063,"6",30,24,1,454.978723,92.9635709999999,454.978723
"1992",10011444,1543,989.903176,57.501349,17,"x6mscalk5",62.4286,"6",30,24,1,989.903176,57.501349,989.903176
"1993",10011501,1746,297.922305,92.9635709999999,17,"x6mscalk5",98.6257,"6",30,24,1,297.922305,92.9635709999999,297.922305
"1994",10011595,1066,1160.172978,59.788467,18,"x6mscalk5",72.3242,"6",30,24,1,1160.172978,59.788467,1160.172978
"1995",10011651,1066,1722.938614,59.788467,18,"x6mscalk5",82.2691,"6",30,24,1,1722.938614,59.788467,1722.938614
"1996",10011683,2006,2314.775208,32.830566,18,"x6mscalk5",71.1422,"6",30,24,1,2314.775208,32.830566,2314.775208
"1997",10011785,1906,3040.065793,181.283467,18,"x6mscalk5",114.4081,"6",30,24,1,3040.065793,181.283467,3040.065793
"1998",10011901,2326,1188.156404,52.083427,15,"x6mscalk5",90.4136999999999,"6",30,24,1,1188.156404,52.083427,1188.156404
"1999",10011916,1218,1186.642888,24.807104,17,"x6mscalk5",105.7971,"6",30,24,1,1186.642888,24.807104,1186.642888
"2000",10011976,1521,923.927958,53.744947,15,"x6mscalk5",109.0491,"6",30,24,1,923.927958,53.744947,923.927958
"2001",10012044,1302,291.926413,37.544854,20,"x6mscalk5",116.8965,"6",30,24,1,291.926413,37.544854,291.926413
"2002",10012070,1937,2075.180004,68.608006,16,"x6mscalk5",99.6936,"6",30,24,1,2075.180004,68.608006,2075.180004
"2003",10012097,1746,552.228411,92.9635709999999,17,"x6mscalk5",100.2285,"6",30,24,1,552.228411,92.9635709999999,552.228411
"2004",10012109,1218,810.493318999999,24.807104,17,"x6mscalk5",83.9351,"6",30,24,1,810.493318999999,24.807104,810.493318999999
"2005",10012287,1088,712.867314,37.162299,15,"x6mscalk5",96.5203,"6",30,24,1,712.867314,37.162299,712.867314
"2006",10012321,2326,1246.144889,52.083427,15,"x6mscalk5",92.9828,"6",30,24,1,1246.144889,52.083427,1246.144889
"2007",10012330,1543,940.188387,57.501349,17,"x6mscalk5",82.4069,"6",30,24,1,940.188387,57.501349,940.188387
"2008",10012363,1377,1224.224849,181.283467,17,"x6mscalk5",88.8735,"6",30,24,1,1224.224849,181.283467,1224.224849
"2009",10012365,1937,1026.47288,68.608006,16,"x6mscalk5",107.9515,"6",30,24,1,1026.47288,68.608006,1026.47288
"2010",10012376,2302,1101.406352,46.502141,20,"x6mscalk5",70.2214,"6",30,24,1,1101.406352,46.502141,1101.406352
"2011",10012382,1218,1056.05678,24.807104,17,"x6mscalk5",116.9841,"6",30,24,1,1056.05678,24.807104,1056.05678
"2012",10012384,1377,3619.431537,181.283467,17,"x6mscalk5",116.5661,"6",30,24,1,3619.431537,181.283467,3619.431537
"2013",10012391,1746,250.233607,92.9635709999999,17,"x6mscalk5",118.2543,"6",30,24,1,250.233607,92.9635709999999,250.233607
"2014",10012405,1247,1387.901499,30.36913,18,"x6mscalk5",70.9665,"6",30,24,1,1387.901499,30.36913,1387.901499
"2015",10012485,1543,1159.840355,57.501349,17,"x6mscalk5",87.9845,"6",30,24,1,1159.840355,57.501349,1159.840355
"2016",10012621,1033,3500.149572,40.136887,15,"x6mscalk5",93.62,"6",30,24,1,3500.149572,40.136887,3500.149572
"2017",10012689,1017,821.181237,36.765227,17,"x6mscalk5",109.215,"6",30,24,1,821.181237,36.765227,821.181237
"2018",10012697,1247,1202.673332,30.36913,18,"x6mscalk5",112.2911,"6",30,24,1,1202.673332,30.36913,1202.673332
"2019",10012720,1756,1304.339945,71.831099,15,"x6mscalk5",103.3023,"6",30,24,1,1304.339945,71.831099,1304.339945
"2020",10012736,1521,871.994001,53.744947,15,"x6mscalk5",73.1774,"6",30,24,1,871.994001,53.744947,871.994001
